Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Custom Product Type,Collection
LinQTM-kiinnikkeen asennussarja,LinQTM-kiinnikkeen asennussarja,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
                    Vaaditaan LinQ-tavarankiinnityssarjan asentamiseen<br/> kuormalavalle.
                </div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860201812,,shopify,10000,deny,manual,9.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-216/860201812__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,1,,FALSE,LinQTM-kiinnikkeen asennussarja,LinQTM-kiinnikkeen asennussarja,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-216/860201812__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
"LISÄPUSKURI, etupuskuri","LISÄPUSKURI, etupuskuri","<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>Lisäsuojaa kelkkasi eturungolle kantoja ja kiviä vastaan.</p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860200537,,shopify,10000,deny,manual,129.00,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-629/6296c20efdd99acf738bf0f845225d32__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,"LISÄPUSKURI, etupuskuri","LISÄPUSKURI, etupuskuri",Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-629/6296c20efdd99acf738bf0f845225d32__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
LISÄPYÖRÄSARJA,LISÄPYÖRÄSARJA,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<div class=""std"">
<p>Rev-XP, Rev-XR 141mm. </p>
<p>Vähentää veto- ja vierintävastusta.<br/>Sisältää 2 pyörää, kiinnikkeet ja kiinnitystarvikkeet.<br/>Lisää enintään 2 sarjaa per takatelamatto.<br/>Voi pidentää liukukiskon käyttöikää erittäin jäisissä lumiolosuhteissa</p>
</div>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860201230,,shopify,10000,deny,manual,49.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-782/435429ba18df71bf885be064ca727710__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,LISÄPYÖRÄSARJA,LISÄPYÖRÄSARJA,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-782/435429ba18df71bf885be064ca727710__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lisäjäähdytinsarja | Radien - Radien-X | 860201860,Lisäjäähdytinsarja | Radien - Radien-X | 860201860,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>860201860<br/>Lisäjäähdytystä äärimmäisiin olosuhteisiin.</p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860201860,,shopify,10000,deny,manual,469.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-264/860202465__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,1,,FALSE,Lisäjäähdytinsarja | Radien - Radien-X | 860201860,Lisäjäähdytinsarja | Radien - Radien-X | 860201860,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-264/860202465__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lisäpyöräsarja 152mm,Lisäpyöräsarja 152mm,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Pienentää vierintävastusta ja parantaa telamaton kulkua.</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Sisältää kaksi pyörää ja asennussarjan.</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">REV Gen4 Summit, Freeride ja Backcountry, XM, XM Summit X T3-paketilla</span></li>
</ul>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860201183,,shopify,10000,deny,manual,110.32,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-783/edc8abc8bf0b413d7e59edb31b62601e__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,Lisäpyöräsarja 152mm,Lisäpyöräsarja 152mm,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-783/edc8abc8bf0b413d7e59edb31b62601e__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Liukurungon vahvike Lynx Radien²,Liukurungon vahvike Lynx Radien²,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>Lisää liukurungon kestävyyttä ja pitkäikäisyyttä. Vakiona Shredder RE -malleille.</p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202611,,shopify,10000,deny,manual,64.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-309/702e13074979b6f23abee65ef7c67a27__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,Liukurungon vahvike Lynx Radien²,Liukurungon vahvike Lynx Radien²,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-309/702e13074979b6f23abee65ef7c67a27__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Liukurungon vahvike | 860201870 | Alumiininen,Liukurungon vahvike | 860201870 | Alumiininen,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>860201870</p>
<p><strong><span style=""left: 1413.54px; top: 584.296px; font-size: 15.8667px; font-family: sans-serif; transform: scaleX(1.12988);"">RADIEN</span></strong></p>
<p>Sopii kaikille Radien-malleille, paitsi malleille, joissa on PPS² DS+ -takajousitus.</p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860201870,,shopify,10000,deny,manual,64.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-308/4c5075721f6b7b39bbbf6a92fb72ea85__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,Liukurungon vahvike | 860201870 | Alumiininen,Liukurungon vahvike | 860201870 | Alumiininen,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-308/4c5075721f6b7b39bbbf6a92fb72ea85__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lynx Kahden istuttava penkki selkänojalla | 860202662,Lynx Kahden istuttava penkki selkänojalla | 860202662,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>Modulaarinen istuin, joka mahdollistaa nopeat vaihdot yhden istuttavan penkin vaihtamiseen. Ergonomiset asennot kuljettajalle ja matkustajalle. Asentaminen nopeaa ja helppoa ilman työkaluja.</p>
<p>Akuttomiin moottorikelkka -malleihin tarvitset akkutuen <a href=""moottori-kelkkailu/brp-alkuperaiset-lisavarusteet/sailytys-telineet/akkusuojus-ja-tuki-p-224894.html"">860201720</a></p>
<p>Jos omistat kaksi kelkkaa ja haluat vaihtaa tämän istuimen toiseen helposti tilaa <a href=""moottori-kelkkailu/brp-alkuperaiset-lisavarusteet/istuimet-selkanojat/linq-1plus1-selkanojan-kiinnityssarja-p-225209.html"">akkurisarja 860202059</a> lisäksi.</p>
<p><strong>Sopii: Radien, Raiden-X 400 MM, Radien2</strong></p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202662,,shopify,10000,deny,manual,864.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-115/bb12164a1dfe290510c0e97d4632b242-v2__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,1,,FALSE,Lynx Kahden istuttava penkki selkänojalla | 860202662,Lynx Kahden istuttava penkki selkänojalla | 860202662,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-115/bb12164a1dfe290510c0e97d4632b242-v2__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
"Lynx Ranger Alpine 59 & 69 Matkustajan istuin, 1+2","Lynx Ranger Alpine 59 & 69 Matkustajan istuin, 1+2","<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<div class=""product attribute overview"">
<div class=""value"">
<p>59 &amp; 69 Ranger Alpine -mallille</p>
</div>
</div>
<div class=""product attribute description"">
<div class=""value"">
<p>59 ja 69 Ranger Alpine -mallille erityisesti suunniteltu kahdenistuttava istuin, jonka avulla ajoneuvossa voi olla 3 henkilöä</p>
</div>
</div>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202502,,shopify,10000,deny,manual,799.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-116/da3ce342506720d7742c9bcc6a39151c__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,"Lynx Ranger Alpine 59 & 69 Matkustajan istuin, 1+2","Lynx Ranger Alpine 59 & 69 Matkustajan istuin, 1+2",Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-116/da3ce342506720d7742c9bcc6a39151c__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lynx Ranger Alpine 59 & 69 Merkkivalot,Lynx Ranger Alpine 59 & 69 Merkkivalot,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<div class=""product attribute overview"">
<div class=""value"">
<p>59 &amp; 69 RANGER ALPINE</p>
</div>
</div>
<div class=""product attribute description"">
<div class=""value"">69 Ranger Alpine -mallille. Sisältää 2 LED-valoa kelkan etuosaan ja 2 taakse.</div>
</div>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202496,,shopify,10000,deny,manual,279.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-447/0bc9543997fb31a8788e09a07ad796d6__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,1,,FALSE,Lynx Ranger Alpine 59 & 69 Merkkivalot,Lynx Ranger Alpine 59 & 69 Merkkivalot,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-447/0bc9543997fb31a8788e09a07ad796d6__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lynx Ranger Alpine 59 & 69 Valotanko,Lynx Ranger Alpine 59 & 69 Valotanko,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<div class=""product attribute overview"">
<div class=""value"">
<p>59 &amp; 69 RANGER ALPINE</p>
</div>
</div>
<div class=""product attribute description"">
<div class=""value"">Valotanko työvaloja varten (valot myydään erikseen).</div>
</div>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202395,,shopify,10000,deny,manual,469.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-227/11f0da93667a3d4bf46edde47ad13d47__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,Lynx Ranger Alpine 59 & 69 Valotanko,Lynx Ranger Alpine 59 & 69 Valotanko,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-227/11f0da93667a3d4bf46edde47ad13d47__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
LYNX Takapohjapanssari,LYNX Takapohjapanssari,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>Suojaa jarruja ja vaihdelaatikon iskuilta. Sopii malleille, joissa on extreme-pohjapanssari<br/> ja pitkä ketjukotelo.<span class=""Apple-converted-space""> </span></p>
<p><strong>RADIEN<span class=""Apple-converted-space""> </span></strong></p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202010,,shopify,10000,deny,manual,129.00,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-311/5189d62bf1bda2e678d57f909d0ad2bc__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,LYNX Takapohjapanssari,LYNX Takapohjapanssari,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-311/5189d62bf1bda2e678d57f909d0ad2bc__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
LYNX Vinssisarja,LYNX Vinssisarja,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>Ergonomisesti muotoiltu kytkin. Järeät teräksiset hammaspyörät ja holkit takaavat enemmän voimaa ja pidemmän käyttöiän. Täysin automaattinen kuormanpidätysjarru. Tiiviisti koteloitu solenoidi on suojassa kaikissa sääoloissa.</p>
<p>Langallinen (3m) säänkestävä kauko-ohjain.<br/>Vetovoima 907 kg. Synteettinen köysi. Yksiosainen köyden ohjaus. EY-vaatimusten mukainen.</p>
<p><strong>RADIEN-X 500 MM </strong></p>
<p><strong>RADIEN-X 600 MM </strong></p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202097,,shopify,10000,deny,manual,529.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-631/d95bc1c6e0bdf51beac82e1c878bfec3__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,LYNX Vinssisarja,LYNX Vinssisarja,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-631/d95bc1c6e0bdf51beac82e1c878bfec3__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
"LÄPINÄKYVÄT KÄSISUOJAT | Ski-Doo | 860200789 | REV-XS, REV-XM, REV-XP, REV-XR, REV-XU","LÄPINÄKYVÄT KÄSISUOJAT | Ski-Doo | 860200789 | REV-XS, REV-XM, REV-XP, REV-XR, REV-XU","<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<div class=""std"">REV-XS, REV-XM, REV-XP, REV-XR, REV-XU</div>
<div class=""long-description"">Uusi tyylikäs muotoilu suojaa entistä paremmin. Mukana vaihdettavat suojanpäät (musta/harmaa). Sopii käyttöön matalien ja erikoismatalien tuulilasien ja kaikkien ohjaustankojen kanssa. Myydään pareittain.</div>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860200789,,shopify,10000,deny,manual,84.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-718/5f5db86c3fe7d8dd1dbfcdf06da773f0__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,"LÄPINÄKYVÄT KÄSISUOJAT | Ski-Doo | 860200789 | REV-XS, REV-XM, REV-XP, REV-XR, REV-XU","LÄPINÄKYVÄT KÄSISUOJAT | Ski-Doo | 860200789 | REV-XS, REV-XM, REV-XP, REV-XR, REV-XU",Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-718/5f5db86c3fe7d8dd1dbfcdf06da773f0__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lämmitettävä istuin,Lämmitettävä istuin,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<div class=""product attribute overview"">
<div class=""value"">
<p>Radien-X 500 mm &amp; 600 mm</p>
</div>
</div>
<div class=""product attribute description"">
<div class=""value"">
<p>Lisää mukavuutta kylmällä säällä.</p>
</div>
</div>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202261,,shopify,10000,deny,manual,534.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-119/eecd918172b40fde0fd275b9a102708f__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,Lämmitettävä istuin,Lämmitettävä istuin,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-119/eecd918172b40fde0fd275b9a102708f__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lämmitettävä kuljettajan penkki,Lämmitettävä kuljettajan penkki,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>Varmista ajamisen mukavuus kylmimmilläkin ilmoilla! Lämmitettävä kuljettajan istuin on pitkään odotettu optio 16” malleille, ja nyt saatavilla Radien- ja Radien2 -malleille.</p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202782,,shopify,10000,deny,manual,504.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/147/SilverShop_Page_Product-146308/af1bff683306a550d56888a978a80753__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,Lämmitettävä kuljettajan penkki,Lämmitettävä kuljettajan penkki,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/147/SilverShop_Page_Product-146308/af1bff683306a550d56888a978a80753__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lämmitettävä matkustajan istuin selkänojalla,Lämmitettävä matkustajan istuin selkänojalla,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<p>Radien-X 500 mm</p>
<p>Radien-X 600 mm</p>
<p>Lisää mukavuutta kylmällä säällä.</p>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202094,,shopify,10000,deny,manual,790.00,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/277/SilverShop_Page_Product-276218/860202094__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,Lämmitettävä matkustajan istuin selkänojalla,Lämmitettävä matkustajan istuin selkänojalla,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/277/SilverShop_Page_Product-276218/860202094__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
Lämmitettävän visiirin sarja muovisuojalla,Lämmitettävän visiirin sarja muovisuojalla,"<div aria-labelledby=""Kuvaus"" class=""product-item-tab-content active"" id=""Kuvaus"" role=""tabpanel"" tabindex=""0"">
<ul class=""mce-bullist"">
<li>Helppo asentaa visiirisarjalle tai lämmitettäville lisävarusteille.</li>
<li>Mukana johtosarja.</li>
<li>Tavallinen RCA-pistoke.</li>
</ul>
</div>",,,,Moottorikelkan lisävaruste Ale,TRUE,,,,,,,860202338,,shopify,10000,deny,manual,29.90,,TRUE,false,,https://www.loukko.com/assets/ProductCatalog/147/SilverShop_Page_Product-146355/4f3638fc4ea1600fd7b68b46b9058b01__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,1,,FALSE,Lämmitettävän visiirin sarja muovisuojalla,Lämmitettävän visiirin sarja muovisuojalla,Moottorikelkan lisävaruste Ale,,,,,,New,FALSE,,,,,,https://www.loukko.com/assets/ProductCatalog/147/SilverShop_Page_Product-146355/4f3638fc4ea1600fd7b68b46b9058b01__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,,,,,,active,Moottorikelkan lisävaruste Ale,Moottorikelkan lisävaruste Ale
