id,name,price,image_src,category_id,link,code
99352,"Kärcher HD 5/13 EX EB painepesuri, Anniversary Edition + varustepaketti kaupan päälle!","590,00 €",https://www.loukko.com/assets/ProductCatalog/294/SilverShop_Page_Product-293903/Karcher_1_520-830_0_HD_5_13_EX_EB_painepesuri__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18835,https://www.loukko.com/autotalli/karcher-hd-513-ex-eb-painepesuri-anniversary-edition-and-varustepaketti-kaupan-paalle,1.520-830.0
99353,Kärcher HD 5/15 CX,"799,00 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124221/ea29b4a23d774db3ce26aa5366041aa7__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hd-515-cx-painepesuri,1.520-935.0
99354,Kärcher HD 6/15 MXA PLUS,"1715,21 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124222/f0ddd6bd2cd9a99f39df56f202f51769__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hd-615-mxa-plus-painepesuri,1.150-943.0
99355,"Kärcher HD 7/16 MX Plus painepesuri letkukelalla, Anniversary Edition + varustepaketti kaupan päälle","1599,00 €",https://www.loukko.com/assets/ProductCatalog/294/SilverShop_Page_Product-293921/karcher__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18835,https://www.loukko.com/autotalli/karcher-hd-716-mx-plus-painepesuri-letkukelalla-anniversary-edition-and-varustepaketti-kaupan-paa,1.524-968.0
99356,Kärcher HD 7/17 MXA PLUS,"1590,00 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124222/f0ddd6bd2cd9a99f39df56f202f51769__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hd-717-mxa-plus-painepesuri,1.151-936.0
99357,Kärcher HD 8/18-4M,"2181,07 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124225/9b6ee36d86971633247d9f291e5e2a31__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/painepesuri-painepesuri-hd-818-4m,1.524-970.0
99358,Kärcher HDS 10/20-4 M Kuumavesipesuri,"5160,68 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124251/c15a51225e4fe9d60c303c789f4eddbc__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1020-4-m-kuumavesipesuri,1.071-900.0
99359,Kärcher HDS 10/20-4 MX Kuumavesipesuri,"5870,16 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124260/f9afca16ca698bc72f66d4b0ee79f13c__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1020-4-mx-kuumavesipesuri,1.071-912.0
99360,Kärcher HDS 10/21-4 M Kuumavesipesuri,"6345,85 €",https://www.loukko.com/assets/ProductCatalog/284/SilverShop_Page_Product-283771/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1021-4-m-kuumavesipesuri,1.071-939.0
99361,Kärcher HDS 10/21-4 MXA Kuumavesipesuri,"5249,00 €",https://www.loukko.com/assets/ProductCatalog/284/SilverShop_Page_Product-283772/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1021-4-mxa-kuumavesipesuri,1.071-938.0
