id,name,price,image_src,category_id,link
42,Couveuse HK-40 600 œufs total  360/240 Oeufs,"2 447,55 €",https://www.pro-elevage.com/8967-home_default/couveuse-hk-40-490-290-200-oeufs.jpg,8,https://www.pro-elevage.com/couveuses-standard/4061-9907-couveuse-hk-40-490-290-200-oeufs-696.html#/836-avec_des_paniers-1_paniers_oeufs_oies/862-hk_0040-variante_automatique
43,Couveuse HK-70 915 600 315 Oeufs,"2 844,45 €",https://www.pro-elevage.com/1043-home_default/couveuse-hk-70-915-600-315-oeufs.jpg,8,https://www.pro-elevage.com/couveuses-standard/694-4459-couveuse-hk-70-915-600-315-oeufs-694.html#/105-hk0070-variante_automatique/836-avec_des_paniers-1_paniers_oeufs_oies
44,Couveuse HK-80 1095 800,"3 230,33 €",https://www.pro-elevage.com/708-home_default/couveuse-hk-80-1095-800.jpg,8,https://www.pro-elevage.com/couveuses-standard/689-4473-couveuse-hk-80-1095-800-689.html#/107-hk0080-variante_automatique/836-avec_des_paniers-1_paniers_oeufs_oies
45,Couveuse HK-90 pour 1500+500 œufs,"4 112,33 €",https://www.pro-elevage.com/8977-home_default/couveuse-hk-80-1095-800.jpg,8,https://www.pro-elevage.com/couveuses-standard/4062-9921-couveuse-hk-80-1095-800-689.html#/107-hk0080-variante_automatique/836-avec_des_paniers-1_paniers_oeufs_oies
46,Panier HK-T2p ecloison Plastifie 38x44cm,"48,39 €",https://www.pro-elevage.com/768-home_default/panier-hk-t2p-ecloison-plastifie-38x44cm.jpg,9,https://www.pro-elevage.com/paniers-pour-couveuses-et-eclosiors/749-panier-hk-t2p-ecloison-plastifie-38x44cm-749.html
47,Panier HK- T2p Plastifie Ecloison / Selection avec Couvercle 38x44 cm,"77,06 €",https://www.pro-elevage.com/2153-home_default/panier-hk-t2p-plastifie-ecloison-selection-avec-couvercle-38x44-cm.jpg,9,https://www.pro-elevage.com/couveuses-turbo/750-panier-hk-t2p-plastifie-ecloison-selection-avec-couvercle-38x44-cm-750.html
48,Panier HK-T2p Ecloison / Selection Plastifie 38x44cm,"77,06 €",https://www.pro-elevage.com/2154-home_default/panier-hk-t2p-ecloison-selection-plastifie-38x44cm.jpg,9,https://www.pro-elevage.com/couveuses-turbo/751-panier-hk-t2p-ecloison-selection-plastifie-38x44cm-751.html
49,Eclosoir Turbo 90/S Oeufs,"1 024,22 €",https://www.pro-elevage.com/782-home_default/eclosoir-turbo-90-oeufs.jpg,9,https://www.pro-elevage.com/couveuses-turbo/763-5802-eclosoir-turbo-90-oeufs-763.html#/173-equiper_avec_des_paniers-poules/179-paniers-turbo_eco_reglage_digital_panier_en_bois
50,Eclosoir Turbo 135/S Oeufs,"1 079,35 €",https://www.pro-elevage.com/783-home_default/eclosoir-turbo-135-oeufs.jpg,9,https://www.pro-elevage.com/couveuses-turbo/764-5815-eclosoir-turbo-135-oeufs-764.html#/173-equiper_avec_des_paniers-poules/179-paniers-turbo_eco_reglage_digital_panier_en_bois
51,Eclosoir Turbo 180/S Oeufs,"1 101,40 €",https://www.pro-elevage.com/784-home_default/eclosoir-turbo-180-oeufs.jpg,9,https://www.pro-elevage.com/couveuses-turbo/765-5827-eclosoir-turbo-180-oeufs-765.html#/173-equiper_avec_des_paniers-poules/179-paniers-turbo_eco_reglage_digital_panier_en_bois
